sequence,arm,started_at_ms,t_request_ms,t_ready_ms,session_age_ms,error
195,A,34944.6,149.625,0.000,0.000,
196,B,35126.3,0.680,100.069,100.069,
197,B,35260.0,0.650,100.068,100.068,
198,B,35392.2,0.507,100.064,100.064,
199,C,35525.5,0.461,90.941,90.942,
200,B,35648.6,100.625,100.064,100.064,
201,B,35880.5,0.680,100.064,100.064,
202,A,36014.7,154.854,0.000,0.000,
203,A,36202.4,156.318,0.000,0.000,
204,C,36390.4,0.397,102.016,102.017,
205,B,36525.4,0.506,100.057,100.057,
206,C,36657.2,0.345,93.783,93.784,
207,A,36784.3,153.001,0.000,0.000,
208,A,36971.4,150.292,0.000,0.000,
209,A,37153.0,160.425,0.000,0.001,
210,C,37345.5,0.373,110.216,110.216,
211,B,37489.3,0.553,100.063,100.063,
212,B,37621.2,0.542,100.040,100.040,
213,B,37753.3,0.538,100.062,100.062,
214,A,37884.2,158.429,0.000,0.001,
215,C,38073.5,100.529,100.249,100.249,
216,B,38307.7,100.801,100.068,100.068,
217,A,38543.1,155.611,0.000,0.000,
218,A,38731.3,159.204,0.000,0.001,
219,B,38923.6,0.563,100.069,100.070,
220,A,39057.5,154.174,0.000,0.000,
221,C,39243.7,0.309,94.850,94.850,
222,C,39371.2,100.587,103.600,103.600,
223,C,39607.7,0.378,90.937,90.938,
224,B,39734.4,100.829,100.066,100.066,
225,A,39969.0,157.117,0.000,0.001,
226,B,40160.3,0.611,100.062,100.062,
227,C,40296.6,0.311,83.976,83.976,
228,C,40413.2,0.371,97.770,97.770,
229,C,40544.3,0.322,92.038,92.039,
230,A,40668.3,159.870,0.000,0.000,
231,C,40861.3,0.242,95.294,95.294,
232,C,40990.2,40.905,93.731,93.731,
233,A,41158.9,160.345,0.000,0.000,
234,B,41353.1,0.455,100.061,100.061,
235,A,41487.7,157.922,0.000,0.000,
236,C,41677.3,0.449,98.735,98.735,
237,C,41809.5,0.439,97.614,97.614,
238,A,41943.5,151.577,0.000,0.000,
239,C,42126.5,0.271,94.234,94.234,
240,A,42253.2,152.595,0.000,0.000,
241,A,42438.8,153.427,0.000,0.001,
242,C,42626.9,0.299,99.083,99.083,
243,A,42758.3,150.664,0.000,0.000,
244,A,42940.9,149.916,0.000,0.000,
245,B,43122.1,0.608,100.064,100.065,
246,A,43256.8,154.480,0.000,0.000,
247,A,43444.2,158.428,0.000,0.000,
248,B,43634.3,0.603,100.079,100.079,
249,B,43766.4,0.672,100.031,100.031,
250,B,43900.4,100.657,100.064,100.065,
251,A,44134.3,176.646,0.000,0.001,
252,C,44344.1,0.328,98.220,98.220,
253,C,44474.3,0.285,88.274,88.274,
254,B,44597.3,0.694,100.067,100.068,
255,B,44729.8,0.696,100.045,100.046,
256,A,44862.5,157.572,0.000,0.001,
257,B,45053.6,101.044,100.070,100.071,
258,C,45293.0,0.353,142.082,142.083,
259,A,45471.5,172.331,0.000,0.000,
260,C,45682.7,0.408,93.149,93.149,
261,C,45809.4,0.408,97.707,97.708,
262,A,45939.5,153.765,0.000,0.000,
263,B,46126.7,100.780,100.063,100.064,
264,C,46359.9,0.310,102.939,102.939,
265,B,46495.2,0.618,100.061,100.062,
266,B,46630.0,4.319,100.692,100.692,
267,A,46769.9,167.245,0.000,0.000,
268,C,46975.6,0.280,102.847,102.847,
269,A,47118.3,154.630,0.000,0.000,
270,A,47306.8,147.042,0.000,0.000,
271,C,47485.3,0.408,96.467,96.467,
272,A,47615.4,159.216,0.000,0.000,
273,A,47805.7,155.156,0.000,0.001,
274,A,47994.0,154.408,0.000,0.000,
275,B,48185.9,0.687,100.069,100.069,
